exercise_name;Primary Muscle;library_id;exercise_video_link;exercise_description
Band Press-Down;Arms;36;https://www.youtube.com/watch?v=h6tQmRu9h2E&pp=ygUPQmFuZCBQcmVzcy1Eb3du;Use resistance band to perform triceps press-down.
Band Pull Apart;Shoulders;37;https://www.youtube.com/watch?v=stwYTTPXubo;Pull resistance band apart to work upper back.
Band Up and Overs;Arms, Shoulders;38;https://www.youtube.com/watch?v=BvyQEahQ3XA;Step on band, perform lateral raises with band.
Band-Assisted Chin-Up;Back;39;https://www.youtube.com/watch?v=A-uiFTIsgRg;Use band assistance to perform chin-ups.
Band-Assisted Inverted Row;Back;40;https://www.youtube.com/watch?v=pKjbIyQmHiU;Perform inverted row using resistance band.
Band-Assisted Neutral-Grip Pull-Up;Back;41;https://www.youtube.com/watch?v=rznRMNKJTUQ;Use band assistance for neutral-grip pull-ups.
Band-Assisted Pull-Up;Back;42;https://www.youtube.com/watch?v=A-uiFTIsgRg;Perform pull-ups using resistance band assistance.
Band-Assisted Pushup;Chest;43;https://www.youtube.com/watch?v=Saq-JVbRZx0;Use band assistance to perform push-ups.
Band-Resisted Ab Wheel Iso;Core;44;https://www.youtube.com/watch?v=K4VQ2WE3R-U;Perform ab wheel isometrically with resistance band.
Band-Resisted Goblet Squat;Legs;45;https://www.youtube.com/watch?v=W3sp_uGF9XA;Add resistance with band to goblet squats.
Band-Resisted Pull-Up;Back;46;https://www.youtube.com/watch?v=auPG8gUWiFw;Perform pull-ups with added resistance from band.
Band-Resisted Pushup;Chest;47;https://www.youtube.com/watch?v=cOFwFzzLFWw;Add resistance to push-ups using a band.
Band-Resisted Ring Pushup;Chest;48;https://www.youtube.com/watch?v=kPfMkZc_Chg;Perform push-ups with resistance using rings and band.
Band-Resisted Squat;Legs;49;https://www.youtube.com/watch?v=jz47v0Uj1cY;Squat with resistance band for added challenge.
Banded Curl;Arms;50;https://www.youtube.com/watch?v=MkPz57rN2nw;Perform curls using resistance band.
Banded Curtsey Lunge into Abduction;Legs;51;https://www.youtube.com/watch?v=7jwHVv51Zro;Lunge while abducting the leg, using resistance band.
Banded Eccentric Pause Squats;Legs;52;https://www.youtube.com/watch?v=DYs9eFN_c5Y;Perform squats with an eccentric pause using resistance band.
Banded Face Pull;Shoulders;53;https://www.youtube.com/watch?v=Wq-Td9UXRK8;Use resistance band for face pulls targeting rear delts.
Banded Frog Thrusts;Legs;54;https://www.youtube.com/watch?v=h16B74bduTY;Perform frog thrusts with added resistance from a band.
Banded Glute Walks;Legs;55;https://www.youtube.com/watch?v=wQjJXuVEsEc;Walk sideways using resistance band for glute activation.
Banded Hip Extension;Legs;56;https://www.youtube.com/watch?v=FiyLIMmOs5w;Use resistance band to perform hip extensions.
Banded Hip Thrust to Abduction;Legs;57;https://www.youtube.com/watch?v=R-xLxPU5orI;Hip thrust with abduction using resistance band.
Banded Kickbacks;Legs;58;https://www.youtube.com/watch?v=O5-ROTyo2dA;Perform kickbacks using resistance band.
Banded No Money;Arms;59;https://www.youtube.com/watch?v=KqTgISFdmew;"Perform ""No Money"" exercise with resistance band."
Banded Pull-Down;Back;60;https://www.youtube.com/watch?v=0H7d2qjyKbU;Perform pull-downs using resistance band.
Banded Reverse Lunge to Kick Back;Legs;61;https://www.youtube.com/watch?v=P3QJbq1z_NA;Lunge back and perform kickback using resistance band.
Banded Rotator Cuff Internal/External Rotation;Shoulders;62;https://www.youtube.com/watch?v=8zJtj0Bw6D0;Work rotator cuff with resistance band.
Banded Rows;Back;63;https://www.youtube.com/watch?v=j5l0wcEOq1E;Perform rows using resistance band.
Banded Scapular Protraction;Shoulders;64;https://www.youtube.com/watch?v=3AZ_iF-_RFE;Protract scapula using resistance band.
Banded Side Plank Abduction;Core;65;https://www.youtube.com/watch?v=U0O86X0TMek;Engage side plank with added abduction from a band.
Banded Tube Walks;Legs;66;https://www.youtube.com/watch?v=855BmSh1q_Y;Walk using resistance band around legs for activation.
Banded Walks;Legs;67;https://www.youtube.com/watch?v=dgbhiejP7oI;Perform walks using resistance band for muscle engagement.
Barbell Back Squat;Legs;68;https://www.youtube.com/watch?v=8PMjqgR8Wa8;Squat with barbell on shoulders to work lower body.
Barbell Bench Press;Chest;69;https://www.youtube.com/watch?v=rT7DgCr-3pg;Press barbell from chest to target chest muscles.
Barbell Bench Press From Pins;Chest;70;https://www.youtube.com/watch?v=t2aOUqhQIBU;Press barbell from pins to target chest muscles.
Barbell Bent Over Row;Back;71;https://www.youtube.com/watch?v=Nqh7q3zDCoQ;Row barbell to engage upper back muscles.
Barbell Bicep Curl;Arms;72;https://www.youtube.com/watch?v=QZEqB6wUPxQ;Perform curls with barbell to target biceps.
Barbell Box Squat;Legs;73;https://www.youtube.com/watch?v=nBc_2Jyp3tM;Squat onto a box or bench with barbell for depth control.
Barbell Bulgarian Split Squat;Legs;74;https://www.youtube.com/watch?v=-4LVK1crLSw;Perform split squat with rear foot elevated and barbell.
Barbell Chest-Supported T-Bar Row;Back;75;https://www.youtube.com/watch?v=ly5AOZB0bc4;Row barbell while chest-supported to engage back muscles.
Barbell Close Grip 2-pause bench press;Chest, Triceps;76;https://www.youtube.com/watch?v=Cv5nS1AH_jE;Bench press with close grip, pausing at chest and triceps.
Barbell Close Grip Bench Press;Chest, Triceps;77;https://www.youtube.com/watch?v=vEUyEOVn3yM;Bench press with close grip to target triceps.
Barbell Close-Grip Biceps Curl;Arms;78;https://www.youtube.com/watch?v=vSupPQiBkeY;Perform biceps curls with close grip on barbell.
Barbell Concentration Biceps Curl;Arms;79;https://www.youtube.com/watch?v=QZEqB6wUPxQ;Concentrate on curling barbell for biceps isolation.
Barbell Curl;Arms;80;https://www.youtube.com/watch?v=uvhnpOjDye8;Perform classic biceps curls with barbell.
Barbell Deadlift;Back, Legs;81;https://www.youtube.com/watch?v=vfKwjT5-86k;Lift barbell from the ground to work entire body.
Barbell Deadlifts from Blocks;Back, Legs;82;https://www.youtube.com/watch?v=jNIUXckSaDA;Deadlifts starting from blocks for partial range.
Barbell Deadlifts from Deficit;Back, Legs;83;https://www.youtube.com/watch?v=CpWsUsqBtN8;Deadlifts from a deficit for greater range of motion.
Barbell Decline Bench Press;Chest;84;https://www.youtube.com/watch?v=LfyQBUKR8SE;Bench press on decline bench to target lower chest.
Barbell Decline Bench Triceps Extension;Chest, Triceps;85;https://www.youtube.com/watch?v=Xrg96YYN0Fc;Perform triceps extensions on decline bench.
Barbell Deficit Reverse Lunge;Legs;86;https://www.youtube.com/watch?v=ZPp34SHzQqA;Lunge from a deficit to challenge balance and range.
Barbell Flat Bench Triceps Extension;Triceps;87;https://www.youtube.com/watch?v=hOwZLq1VSRg;Perform triceps extensions on flat bench.
Barbell Floor Press;Chest, Triceps;88;https://www.youtube.com/watch?v=9vYCwtHkWgI&pp=ygUTQmFyYmVsbCBGbG9vciBQcmVzcw%3D%3D;Bench press while lying on the floor.
Barbell Front Raise;Shoulders;89;https://www.youtube.com/watch?v=_ikCPws1mbE;Lift barbell to the front to target shoulder muscles.
Barbell Front Squat;Legs;90;https://www.youtube.com/watch?v=VfBOBhwXbro&pp=ygUTQmFyYmVsbCBGcm9udCBTcXVhdA%3D%3D;Front squat with barbell for quad and core engagement.
Barbell Front Squat Iso;Legs;91;https://www.youtube.com/watch?v=nfkphUz7qVk;Hold front squat position for isometric challenge.
Barbell Front Squat to Box;Legs;92;https://www.youtube.com/watch?v=RbMi6CQfGkk;Front squat while targeting a specific depth with box.
Barbell Glute Bridge;Glutes;93;https://www.youtube.com/watch?v=nbjJjSa0cKo;Engage glutes and hips with barbell bridge exercise.
Barbell Glute Bridges;Glutes;94;https://www.youtube.com/watch?v=ylpfCk3i-0Y;Perform bridge exercise with barbell for glutes.
Barbell Hip Thrust;Glutes;95;https://www.youtube.com/watch?v=Zp26q4BY5HE;Thrust hips upward with barbell for glute activation.
Barbell Incline Bench Press;Chest, Shoulders;96;https://www.youtube.com/watch?v=SrqOu55lrYU;Press barbell on incline bench to target upper chest.
Barbell Incline Bench Row;Back;97;https://www.youtube.com/watch?v=KXjNfZZ0SDY;Row barbell while lying on incline bench.
Barbell Incline Bench Triceps Extension;Chest, Triceps;98;https://www.youtube.com/watch?v=ceBWWifK11M;Perform triceps extensions on incline bench.
Barbell JM Press;Arms, Shoulders;99;https://www.youtube.com/watch?v=rZcWkXEOKGI;Perform JM press with barbell for triceps engagement.
Barbell Jump Squat;Legs;100;https://www.youtube.com/watch?v=0pTBkUPuMkk;Squat and jump explosively with barbell.
Barbell One-Arm Linear Jammer;Shoulders;101;https://www.youtube.com/watch?v=De2G39d8S6E;Jam barbell using one arm to challenge stabilizers.
Barbell One-Arm Row;Back;102;https://www.youtube.com/watch?v=1W1MnqIIZ7k;Perform one-arm rows with barbell for back muscles.
Barbell Overhead Press;Shoulders;103;https://www.youtube.com/watch?v=_RlRDWO2jfg;Press barbell overhead to target shoulder muscles.
Barbell Overhead Shrug;Shoulders;104;https://www.youtube.com/watch?v=xFlj3GiiRj4;Shrug barbell overhead to engage upper traps.
Barbell Overhead Triceps Extension;Triceps;105;https://www.youtube.com/watch?v=szES3xIzJPo;Perform triceps extensions overhead with barbell.
Barbell Pause Bench Press;Chest;106;https://www.youtube.com/watch?v=dVM-rN5cd4E;Bench press with pause at chest to challenge muscles.
Barbell Pause Larsen Bench Press;Chest;107;https://www.youtube.com/watch?v=Ilt0GuTwB_Y;Bench press with pause, emphasizing triceps work.
Barbell Pause Squats;Legs;108;https://www.youtube.com/watch?v=nknf16JJTZo;Perform squats with a pause for strength development.
Barbell Pendlay Row;Back;109;https://www.youtube.com/watch?v=kmFx0tti3ds;Row barbell from the ground to engage back muscles.
Barbell Plate Ab Twist;Core;110;https://www.youtube.com/watch?v=pDTHSnoGoEc;Twist while holding barbell plate to engage obliques.
Barbell Power Shrugs;Shoulders, Back;111;https://www.youtube.com/watch?v=96NFt3oTvpI;Perform powerful shrugs using barbell for traps.
Barbell Preacher Biceps Curl;Arms;112;https://www.youtube.com/watch?v=Gydpcouclx8;Curl barbell using preacher curl bench for biceps.
Barbell Push Press;Shoulders;113;https://www.youtube.com/watch?v=iaBVSJm78ko;Press barbell overhead using leg drive for power.
Barbell RDL;Legs, Back;114;https://www.youtube.com/watch?v=5rIqP63yWFg;Romanian deadlift using barbell for hamstring work.
Barbell Regular-Grip Biceps Curl;Arms;115;https://www.youtube.com/watch?v=uvhnpOjDye8;Perform biceps curls with regular grip on barbell.
Barbell Reverse Curl (Pronated Grip);Arms;116;https://www.youtube.com/watch?v=W32gBdbEeoU;Curl barbell using pronated grip for biceps work.
Barbell Reverse Grip Bent Over;Back;117;https://www.youtube.com/watch?v=3gdGSSgDby8;Perform bent-over rows with reverse grip on barbell.
Barbell Reverse Grip Curl;Arms;118;https://www.youtube.com/watch?v=W32gBdbEeoU;Perform curls using reverse grip on barbell.
Barbell Reverse Lunge;Legs;119;https://www.youtube.com/watch?v=U5Q5HfUyy78;Lunge back while holding barbell for lower body.
Barbell Reverse Lunge With a Front Squat Grip;Legs;120;https://www.youtube.com/watch?v=6BqR5996pcE;Lunge back, hold barbell with front squat grip.
Barbell Reverse-Grip Biceps Curl;Arms;121;https://www.youtube.com/watch?v=nRgxYX2Ve9w;Curl barbell with reverse grip for biceps work.
Barbell Romanian Deadlift;Legs, Back;122;https://www.youtube.com/watch?v=5rIqP63yWFg;Perform Romanian deadlift with barbell for hamstrings.
Barbell Seated Shoulder Press;Shoulders;123;https://www.youtube.com/watch?v=oBGeXxnigsQ;Press barbell overhead while seated for shoulder work.
Barbell Shrug;Shoulders;124;https://www.youtube.com/watch?v=NAqCVe2mwzM;Perform shrugs with barbell to target traps.
Barbell Skull Crushers;Triceps;125;https://www.youtube.com/watch?v=gTrlbuuMufQ;Perform skull crushers with barbell to target triceps.
Barbell Slideboard Reverse Lunge;Legs;126;https://www.youtube.com/watch?v=L3ntiAhV3Zs;Lunge back using slideboard and barbell for added challenge.
Barbell Split Squat;Legs;127;https://www.youtube.com/watch?v=r1jukGZPnZI;Perform split squats with barbell for leg engagement.
Barbell Spoto Bench Press;Chest;128;https://www.youtube.com/watch?v=ydJEnuvvgNU;Bench press with pause just above chest to target strength.
Barbell Squat;Legs;129;https://www.youtube.com/watch?v=gslEzVggur8;Perform classic squat with barbell for lower body.
Barbell Standing Lunge;Legs;130;https://www.youtube.com/watch?v=ci4rsmlOk24;Perform lunges while holding barbell for leg work.
Barbell Standing Overhead Press;Shoulders;131;https://www.youtube.com/watch?v=2yjwXTZQDDI;Press barbell overhead while standing to target shoulders.
Barbell Standing Shoulder Press;Shoulders;132;https://www.youtube.com/watch?v=2yjwXTZQDDI;Shoulder press with barbell while standing.
Barbell Step Up;Legs;133;https://www.youtube.com/watch?v=860722r7v2E;Step up onto platform while holding barbell for leg work.
Barbell Stiff Leg Deadlift;Back, Legs;134;https://www.youtube.com/watch?v=q3mVYFBaLq4;Perform stiff-leg deadlift with barbell for hamstrings.
Barbell Stiff-Legged Deadlift;Back, Legs;135;https://www.youtube.com/watch?v=q3mVYFBaLq4;Engage hamstrings with stiff-legged deadlift using barbell.
Barbell Sumo Deadlift;Back, Legs;136;https://www.youtube.com/watch?v=7gRCzkbCT24;Perform sumo deadlift with barbell to target legs and back.
Barbell T-Bar Row;Back;137;https://www.youtube.com/watch?v=8c23NBbwLBc;Row using T-Bar machine or landmine attachment with barbell.
Barbell Tempo Bench Press;Chest;138;https://www.youtube.com/watch?v=IZX5bS5rPkk;Perform bench press with tempo for muscle engagement.
Barbell Touch n Go Bench Press;Chest;139;https://www.youtube.com/watch?v=Kg0N3nie2Xc;Bench press without pause at chest for continuous motion.
Barbell Upright Row;Shoulders;140;https://www.youtube.com/watch?v=vJ8x0Oz06gw;Perform upright rows with barbell to work shoulders.
Barbell Upright Row (Overhand);Shoulders;141;https://www.youtube.com/watch?v=vRn2-mX6wjI;Engage shoulders with overhand grip upright rows.
Barbell Walking Lunge;Legs;142;https://www.youtube.com/watch?v=r0DBxI9XiNM;Lunge while walking and holding barbell for leg work.
Barbell Wide-Grip Biceps Curl;Arms;143;https://www.youtube.com/watch?v=jnfveKq1i3E;Curl barbell using wide grip to target biceps.
Barbell Z Press;Shoulders;144;https://www.youtube.com/watch?v=0fHdnBH9Gdo;Press barbell overhead while sitting on floor for shoulders.
Battle Rope;Full Body;145;https://www.youtube.com/watch?v=658VcTBuovQ;Perform waves or slams with battle rope for cardio and strength.
Bear Crawl;Full Body;146;https://www.youtube.com/watch?v=Ee1BQNI6zN4;Crawl on hands and feet to engage core and upper body.
Bear Knee Taps;Core;147;https://www.youtube.com/watch?v=R0s1lxjh2OM;Tap knees to floor while maintaining bear crawl position.
Bear Plank 360's;Core;148;https://www.youtube.com/watch?v=ASThkQl4fWghttps://www.youtube.com/watch?v=ASThkQl4fWg;Rotate in plank position, engaging core and shoulders.
Bear Plank Hip Abduction;Core, Hips;149;https://www.youtube.com/watch?v=eqEjbNIh8F4;Engage hips and glutes while abducting legs in bear plank.
Belt Squat;Legs;150;https://www.youtube.com/watch?v=ydyqe7RzTkA;Squat using a belt for added resistance without barbell.
Bench Hops;Legs;151;https://www.youtube.com/watch?v=9ODXwMo2Dzc;Perform hops while seated on bench for lower body.
Bench Lateral Stretch;Stretch;152;https://www.youtube.com/watch?v=6Fc0u9xPkL8;Stretch laterally while seated on bench to release tension.
Bench Push-ups;Chest, Shoulders;153;https://www.youtube.com/watch?v=5MhQS8nU-HU;Perform push-ups with hands on bench to modify difficulty.
Bench Stretch;Stretch;154;https://www.youtube.com/watch?v=PMW9R3uZyxw;Stretch while seated on bench to release tension.
Bent Knee Air Crunch;Core;155;https://www.youtube.com/watch?v=shT17pjkMaI;Perform air crunches with bent knees for ab engagement.
Bent Knee Jack Knife;Core;156;https://www.youtube.com/watch?v=QMTsahie_98;Perform jackknife with bent knees for core activation.
Bent Knee Single Leg Lifts;Core;157;https://www.youtube.com/watch?v=zo2pqw794B0;Lift single leg while lying on back with bent knee.
Bent Knee Sit Ups;Core;158;https://www.youtube.com/watch?v=eP8jUKP9RT8;Perform sit-ups with bent knees to engage core.
Bent Knee V-Ups with Arms;Core;159;https://www.youtube.com/watch?v=nfWQihJo-Mc;Lift arms and legs to form a V-shape while lying down.
Bent Over Alternating Row;Back;160;https://www.youtube.com/watch?v=UKjQMYiQnS0;Perform alternating rows while bent over.
Bent Over Barbell Row;Back;161;https://www.youtube.com/watch?v=Nqh7q3zDCoQ;Row barbell while bent over to target upper back.
Bent Over Palm Up Row to Curl;Back, Biceps;162;https://www.youtube.com/watch?v=gQvdAcH1j9Q;Perform row and curl using barbell with palms up.
Bent Over Plate Row;Back;163;https://www.youtube.com/watch?v=GV-5bHCEKEc;Row plates while bent over to target upper back.
Bent Over Pronated Grip (Overhand) Row;Back;164;https://www.youtube.com/watch?v=CU3AZYX0u2Q;Perform row with overhand grip while bent over.
Bent Over Rear Delt Row;Shoulders, Back;165;https://www.youtube.com/watch?v=2S9juCSwxWw;Row using rear delt fly motion to target rear delts.
Bent Over Reverse Fly;Shoulders, Back;166;https://www.youtube.com/watch?v=YVQaCafbGOo;Perform reverse fly motion while bent over.
Bent Over Reverse Flyes;Shoulders, Back;167;https://www.youtube.com/watch?v=YVQaCafbGOo;Engage rear delts and upper back with reverse flyes.
Bent Over Row to Bicep Curl;Back, Biceps;168;https://www.youtube.com/watch?v=gQvdAcH1j9Q;Combine row and bicep curl motions for upper body.
Bent Over Row to Overhead Press;Back, Shoulders;169;https://www.youtube.com/watch?v=pq4ars8_E3Q;Combine row and overhead press motions for upper body.
Bent Over Tempo Rows;Back;170;https://www.youtube.com/watch?v=yQ3Q-lSdR6o;Perform rows with controlled tempo for muscle engagement.
Bent-Knee Hamstring Dynamic;Legs;171;https://www.youtube.com/watch?v=f0lBxfbZO3c;Engage hamstrings with bent-knee dynamic movements.
Bent-Knee Jackknives;Core;172;https://www.youtube.com/watch?v=zg_xPBbmXiw;Perform jackknife movements with bent knees.
Bent-Over Dumbbell Row;Back;173;https://www.youtube.com/watch?v=knB5Q4FN4ck;Perform dumbbell rows while bent over.
Bicep Curl;Arms;174;https://www.youtube.com/watch?v=ykJmrZ5v0Oo;Perform classic bicep curls to target biceps.
Bicycle Crunch;Core;175;https://www.youtube.com/watch?v=1we3bh9uhqY;Engage core muscles with bicycle-like crunches.
Bird Dog;Core;176;https://www.youtube.com/watch?v=wiFNA3sqjCA;Extend opposite arm and leg for balance and core engagement.
Body Weight Ab Crunch;Core;177;https://www.youtube.com/watch?v=z6LRile4YiE;Perform crunches using body weight for ab engagement.
Body Weight Back Extension;Back;178;https://www.youtube.com/watch?v=H8Swl1N-uis;Engage lower back muscles with body weight back extension.
Body Weight Bench Dip;Chest, Triceps;179;https://www.youtube.com/watch?v=0326dy_-CzM;Perform bench dips using body weight for triceps.
Body Weight Bulgarian Split-Squat;Legs;180;https://www.youtube.com/watch?v=aSJbKnDRIiQ&pp=ygUhQm9keSBXZWlnaHQgQnVsZ2FyaWFuIFNwbGl0LVNxdWF0;Perform split squats using body weight for leg work.
Body Weight Pike Push-Up;Shoulders, Chest;181;https://www.youtube.com/shorts/0cT6ug3WVn4;Perform pike push-ups using body weight for shoulders.
Body Weight Pistol Squat;Legs;182;https://www.youtube.com/watch?v=T2ZIdwvsq1w;Perform pistol squats using body weight for legs.
Body Weight Plank;Core;183;https://www.youtube.com/watch?v=OOi3tmzUzJo;Engage core and stabilize body with plank position.
Body Weight Pull-Up;Back;184;https://www.youtube.com/watch?v=XUkb6H9ddiQ;Perform pull-ups using body weight for upper body.
Body Weight Squat;Legs;185;https://www.youtube.com/watch?v=X8DnpBl7Hwk;Engage lower body with body weight squats.
Body Weight Standing Lunge;Legs;186;https://www.youtube.com/watch?v=3XDriUn0udo;Perform lunges using body weight for leg engagement.
Body Weight Step Up;Legs;187;https://www.youtube.com/watch?v=WCFCdxzFBa4;Step up onto platform using body weight for leg work.
Body Weight Walking Lunge;Legs;188;https://www.youtube.com/watch?v=YpKz7GDOgXg;Lunge while walking using body weight for leg work.
Bodyweight Bulgarian Split Squat;Legs;189;https://www.youtube.com/watch?v=uODWo4YqbT8;Perform split squats using body weight for leg engagement.
Bodyweight Cross-Over Step-Up;Legs;190;https://www.youtube.com/watch?v=2u-8FNBy6Ik;Step up and cross over with body weight for leg activation.
Bodyweight Get-Up;Full Body;191;https://www.youtube.com/watch?v=KJVa28Rd6HA;Use body weight to perform a full body get-up movement.
Bodyweight Lateral Lunge With Assistance;Legs;192;https://www.youtube.com/watch?v=t8BrYuUVQl0&pp=ygUoQm9keXdlaWdodCBMYXRlcmFsIEx1bmdlIFdpdGggQXNzaXN0YW5jZQ%3D%3D;Engage lateral leg muscles with assisted lateral lunges.
Bodyweight Lateral Squat;Legs;193;https://www.youtube.com/watch?v=0lLIWWSmMm4&pp=ygUYQm9keXdlaWdodCBMYXRlcmFsIFNxdWF0;Perform squats in a lateral motion using body weight.
Bodyweight Reverse Lunge With Blocked Knee;Legs;194;https://www.youtube.com/watch?v=jrYAwn2lpFI&pp=ygUqQm9keXdlaWdodCBSZXZlcnNlIEx1bmdlIFdpdGggQmxvY2tlZCBLbmVl;Lunge back while blocking knee with body weight.
Bodyweight Side Steps;Legs;195;https://www.youtube.com/watch?v=v7vqOK3VFvI&pp=ygUVQm9keXdlaWdodCBTaWRlIFN0ZXBz;Take lateral steps using body weight for leg work.
Bodyweight Split Squats;Legs;196;https://www.youtube.com/watch?v=vvZHaPGOIWU&pp=ygUXQm9keXdlaWdodCBTcGxpdCBTcXVhdHM%3D;Perform split squats using body weight for leg engagement.
Bodyweight Squat Thrust;Legs;197;https://www.youtube.com/watch?v=fysU2ldlXSY&pp=ygUXQm9keXdlaWdodCBTcXVhdCBUaHJ1c3Q%3D;Engage legs and upper body with body weight squat thrust.
Bodyweight Squat to Box;Legs;198;https://www.youtube.com/watch?v=70vh8vN40c4&pp=ygUXQm9keXdlaWdodCBTcXVhdCB0byBCb3g%3D;Squat while targeting a specific depth with box and body weight.
Bodyweight Step-Up;Legs;199;https://www.youtube.com/watch?v=1jzIPebeINM&pp=ygUSQm9keXdlaWdodCBTdGVwLVVw;Step up onto platform using body weight for leg work.
Bodyweight Tibialis Raise;Legs;200;https://www.youtube.com/watch?v=RXC7tE6IQcc&pp=ygUZQm9keXdlaWdodCBUaWJpYWxpcyBSYWlzZQ%3D%3D;Engage shins and ankles with body weight tibialis raise.
Bowler Squat;Legs;201;https://www.youtube.com/watch?v=zb2ftRZ-GiQ&pp=ygUMQm93bGVyIFNxdWF0;Perform squats while balancing on one leg for core and leg engagement.
Box Jumps;Legs;202;https://www.youtube.com/watch?v=NBY9-kTuHEk&pp=ygUJQm94IEp1bXBz;Jump onto a box or platform for explosive lower body power.
